model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.88208508139669,8.15449070930481,424.346568107605,0.005983114242553711,7.0246686935424805,2,True,14
CatBoost_BAG_L1,0.8802192775215992,0.03191208839416504,29.806015253067017,0.03191208839416504,29.806015253067017,1,True,7
LightGBMXT_BAG_L1,0.8799643886899547,0.20487546920776367,7.018322229385376,0.20487546920776367,7.018322229385376,1,True,3
LightGBM_BAG_L1,0.8783944827212131,0.16966557502746582,7.225738763809204,0.16966557502746582,7.225738763809204,1,True,4
NeuralNetTorch_BAG_L1,0.8781093770390349,0.3495471477508545,152.24545335769653,0.3495471477508545,152.24545335769653,1,True,12
XGBoost_BAG_L1,0.8779215046602485,0.10571646690368652,7.423195123672485,0.10571646690368652,7.423195123672485,1,True,11
LightGBMLarge_BAG_L1,0.8770736953477132,0.21847820281982422,15.28742265701294,0.21847820281982422,15.28742265701294,1,True,13
NeuralNetFastAI_BAG_L1,0.8751142708788958,0.864220380783081,188.55557250976562,0.864220380783081,188.55557250976562,1,True,10
RandomForestEntr_BAG_L1,0.8743365421662344,1.555511236190796,10.706248760223389,1.555511236190796,10.706248760223389,1,True,6
RandomForestGini_BAG_L1,0.8728941230752774,1.5938539505004883,8.550949096679688,1.5938539505004883,8.550949096679688,1,True,5
ExtraTreesEntr_BAG_L1,0.8721070274832367,1.5970215797424316,3.000770330429077,1.5970215797424316,3.000770330429077,1,True,9
ExtraTreesGini_BAG_L1,0.8720381679516865,1.6761837005615234,2.7896339893341064,1.6761837005615234,2.7896339893341064,1,True,8
KNeighborsDist_BAG_L1,0.8218476969008018,5.44012451171875,0.03989267349243164,5.44012451171875,0.03989267349243164,1,True,2
KNeighborsUnif_BAG_L1,0.8206339802345212,5.379074811935425,0.037899017333984375,5.379074811935425,0.037899017333984375,1,True,1
