model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.9287626238037042,3.895453453063965,157.62851309776306,0.00498652458190918,5.585172176361084,2,True,12
LightGBMXT_BAG_L1,0.9270965724759044,0.29418206214904785,8.748083591461182,0.29418206214904785,8.748083591461182,1,True,3
CatBoost_BAG_L1,0.9267170566370233,0.03590989112854004,33.17412090301514,0.03590989112854004,33.17412090301514,1,True,7
NeuralNetFastAI_BAG_L1,0.925980706532901,0.7800514698028564,80.66487574577332,0.7800514698028564,80.66487574577332,1,True,10
LightGBM_BAG_L1,0.9258883414361162,0.1725461483001709,7.381190776824951,0.1725461483001709,7.381190776824951,1,True,4
XGBoost_BAG_L1,0.9254619797241329,0.1316537857055664,7.130722761154175,0.1316537857055664,7.130722761154175,1,True,11
RandomForestEntr_BAG_L1,0.9217576394395299,1.2137517929077148,8.293130874633789,1.2137517929077148,8.293130874633789,1,True,6
RandomForestGini_BAG_L1,0.9209985756283906,1.2623717784881592,6.651216268539429,1.2623717784881592,6.651216268539429,1,True,5
ExtraTreesEntr_BAG_L1,0.9197939641839911,1.4779386520385742,2.7075610160827637,1.4779386520385742,2.7075610160827637,1,True,9
ExtraTreesGini_BAG_L1,0.91919535380014,1.477771282196045,2.603922128677368,1.477771282196045,2.603922128677368,1,True,8
KNeighborsDist_BAG_L1,0.8320318979035579,5.6546714305877686,0.039894819259643555,5.6546714305877686,0.039894819259643555,1,True,2
KNeighborsUnif_BAG_L1,0.8302536551853988,5.694184303283691,0.038895606994628906,5.694184303283691,0.038895606994628906,1,True,1
