,importance,stddev,p_value,n,p99_high,p99_low
htn_any_mention,0.09541398637310106,0.002074858920300333,2.6817210073002165e-08,5,0.09968614956759732,0.0911418231786048
anchor_age,0.08073996453164337,0.0034588750422074144,4.031851743969373e-07,5,0.08786183605028197,0.07361809301300476
Chloride_mean,0.013516691278482141,0.0012323427698776267,8.200261422376003e-06,5,0.016054102074447345,0.010979280482516939
htn_mention_count,0.012900059463679826,0.0017350652581068322,3.8341950323083855e-05,5,0.01647258281127216,0.009327536116087493
bp_sys_mean,0.007799991170054854,0.0012277347584857172,7.128712255621502e-05,5,0.01032791400687463,0.005272068333235079
Sodium_mean,0.007043831899002062,0.0006409734242069923,8.138148318068114e-06,5,0.008363605038638457,0.005724058759365668
Bicarbonate_mean,0.0063748356594548914,0.0007527901111738457,2.2907037435736856e-05,5,0.007924840903026888,0.004824830415882894
Anion_Gap_mean,0.004301735256954009,0.0004940792613003504,2.0520716837285423e-05,5,0.005319051284872535,0.0032844192290354835
Creatinine_mean,0.0033757307763078613,0.0006812831282686398,0.00018871037658210702,5,0.0047785021537465056,0.001972959398869217
weight_kg_mean,0.0027085600235123852,0.000651835719375882,0.00037322084227455924,5,0.004050698779034397,0.0013664212679903732
Glucose_mean,0.0019240423727298506,0.0002470458053721543,3.191140098420352e-05,5,0.0024327131005270125,0.0014153716449326888
Glucose_max,0.001596650588876436,0.00046745056609469467,0.0007892456260996419,5,0.0025591377653188365,0.0006341634124340356
Urea_Nitrogen_mean,0.001351335731919523,0.00016655750483776774,2.7141825129466994e-05,5,0.0016942799364498464,0.0010083915273891996
bp_dia_mean,0.0010337339517567435,0.0005307532672922103,0.006054132011755007,5,0.0021265622649011395,-5.909436138765221e-05
Potassium_mean,0.0009130778338839907,0.0002621102812913781,0.0007325113310472541,5,0.0014527665258120184,0.00037338914195596295
Glucose_min,0.0005398262880640603,0.00025724326243742844,0.0046805232968647565,5,0.0010694937209024564,1.0158855225664287e-05
Glucose_std,0.00042950677193012157,0.000148865089377231,0.001485683837776136,5,0.0007360220484920314,0.0001229914953682118
bmi,0.00037515459675871996,0.0002118406889906353,0.008339414657801482,5,0.0008113375033399156,-6.102830982247575e-05
gender,0.00035731590244336697,0.0003820089066941483,0.052324876395200746,5,0.001143877521250811,-0.00042924571636407697
height_cm_mean,0.00024817838138002646,0.00018423725061626368,0.019734062071211176,5,0.0006275254268283282,-0.00013116866406827522
has_labs,0.0001445770121444756,8.724955222538134e-05,0.010369707884427988,5,0.0003242250460935014,-3.507102180455021e-05
has_omr,-0.00011939206518243317,0.0001075146605170388,0.9660072525130702,5,0.00010198210683267769,-0.000340766237197544
