model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_1_AutoML_1_20251123_220617,0.9269584104312506,0.3440396052622754,0.9266768937424732,0.1552641118453047,0.3294876580410589,0.1085621168013817
StackedEnsemble_AllModels_2_AutoML_1_20251123_220617,0.9269425526097288,0.3440940981541329,0.9265337258554698,0.1553010629335492,0.3294815842376011,0.1085581143517194
StackedEnsemble_AllModels_3_AutoML_1_20251123_220617,0.9269009697247218,0.3441899703853496,0.9266769318258568,0.156327958441518,0.3295490891972714,0.1086026021907511
StackedEnsemble_BestOfFamily_3_AutoML_1_20251123_220617,0.9265010767343757,0.3449838422869808,0.9259062139218684,0.1574299335847167,0.329849428405076,0.1088006454191553
StackedEnsemble_BestOfFamily_1_AutoML_1_20251123_220617,0.9264172981349584,0.3452500269036491,0.9257287638484868,0.1559531570280827,0.3299389607196384,0.108859717800755
StackedEnsemble_BestOfFamily_2_AutoML_1_20251123_220617,0.9264143694071744,0.3452439744931272,0.925335174460462,0.1576721067800562,0.3298948624820907,0.1088306202920775
GBM_1_AutoML_1_20251123_220617,0.9255771526328244,0.3469916203263041,0.92518489034568,0.1593622742072526,0.3308559519479822,0.1094656609394054
GBM_2_AutoML_1_20251123_220617,0.925262018309892,0.3481206934575059,0.9251470890565288,0.1604093747235955,0.3317955119653348,0.1100882617603386
StackedEnsemble_AllModels_4_AutoML_1_20251123_220617,0.9250855303275088,0.3848499257633809,0.9225529271044758,0.1553425195802896,0.3407426745800453,0.1161055702799626
StackedEnsemble_BestOfFamily_4_AutoML_1_20251123_220617,0.9249883268622526,0.3482160748924522,0.9243501527394768,0.1564985109301314,0.3315812798792321,0.1099461451663496
GBM_5_AutoML_1_20251123_220617,0.9246297573946566,0.3496694765739568,0.9241023835755372,0.1609249157375637,0.3323287767330982,0.1104424158449174
GBM_3_AutoML_1_20251123_220617,0.9243340660600168,0.3501902229109707,0.9241438894366076,0.1596162793710311,0.332761193070769,0.1107300116138816
GBM_grid_1_AutoML_1_20251123_220617_model_1,0.9236714666464636,0.3521590057183045,0.9233181773204874,0.1628280241680453,0.3336078097115171,0.1112941707005158
GBM_4_AutoML_1_20251123_220617,0.9228634568165148,0.3540303865989239,0.9225840128547383,0.1662081708126588,0.3347417730874147,0.1120520546497062
GBM_grid_1_AutoML_1_20251123_220617_model_2,0.921029324974885,0.3589081841049317,0.9201867086826384,0.1672441508853379,0.3371154198223099,0.1136468062819722
GBM_grid_1_AutoML_1_20251123_220617_model_4,0.9208651211234592,0.359811068762586,0.9203529633480428,0.1634506817940567,0.3371570997493672,0.1136749099114047
DRF_1_AutoML_1_20251123_220617,0.9199891905156152,0.36715933304278,0.9182032696502656,0.1672910449585054,0.3373787670069021,0.1138244324270975
GBM_grid_1_AutoML_1_20251123_220617_model_5,0.9198232698237642,0.3972199519487482,0.9150349116383956,0.1655981875086106,0.3474543496647221,0.1207245251009349
GLM_1_AutoML_1_20251123_220617,0.9190786775084556,0.3652241342671163,0.9162000228848874,0.1655333125158015,0.3385660965799381,0.114627001753376
XRT_1_AutoML_1_20251123_220617,0.9180710643218948,0.3690946756808462,0.914093504216426,0.1703595644087558,0.3397937430473543,0.1154597878141314
GBM_grid_1_AutoML_1_20251123_220617_model_3,0.914324443398957,0.3783972539987946,0.9136982888370548,0.1736102066585608,0.3456210055648419,0.1194538794876524
