,mean_abs_contrib
anchor_age,0.977128326600534
htn_mention_count,0.8630809462257312
htn_any_mention,0.5567402793467044
bp_sys_mean,0.24535363472597965
Urea_Nitrogen_mean,0.19273011188828967
Chloride_mean,0.19231485837628134
weight_kg_mean,0.13345664866256537
Creatinine_mean,0.12762802568929327
Glucose_max,0.10248695601792131
bp_dia_mean,0.09207029401340694
Sodium_mean,0.09144069680602113
Bicarbonate_mean,0.08383577923262234
Glucose_mean,0.06740774598403365
Anion_Gap_mean,0.06639734535539535
Potassium_mean,0.051045838465739464
Glucose_std,0.04057486686553234
height_cm_mean,0.03985192928001375
Glucose_min,0.03677685010061573
gender,0.02845543446449842
bmi,0.022145367298671722
BiasTerm,0.014514528214931403
has_omr,0.005186763653747173
has_labs,7.309031379190805e-05
