feature,importance_mean,importance_std
Creatinine_mean,0.007457013574660598,0.006535315280536601
Glucose_std,0.006660633484162848,0.005985890058597475
Urea_Nitrogen_mean,0.005538461538461481,0.004822230348105534
Sodium_mean,0.00380090497737553,0.0019291095159419832
weight_kg_mean,0.0036199095022624193,0.007196248985941227
gender,0.002787330316742065,0.0030898848626784887
height_cm_mean,0.0023167420814479422,0.0007627622626499771
bmi,0.0014479638009048835,0.003319676095742388
Bicarbonate_mean,0.00047058823529407825,0.003926559070873278
subject_id,0.0,0.0
Potassium_mean,-0.0003619909502262875,0.003227611674231156
has_labs,-0.0005791855203620023,0.001297120207577835
has_omr,-0.0009049773755656742,0.000657589217179547
bp_dia_mean,-0.002425339366515844,0.005060887233975123
Anion_Gap_mean,-0.004126696832579213,0.0029350301249772867
bp_sys_mean,-0.004995475113122194,0.005963079900662157
Glucose_min,-0.005864253393665186,0.005817364638071268
Glucose_mean,-0.005972850678733066,0.0021231316993469912
Chloride_mean,-0.016253393665158367,0.003683424679649607
Glucose_max,-0.020126696832579227,0.01228499370826675
anchor_age,-0.022479638009049806,0.01795358338050465
