model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_Best1000_1_AutoML_1_20251210_213222,0.9271790863974144,0.3435076161920753,0.9270962293100072,0.1567010590812164,0.3292898729332743,0.1084318204164119
StackedEnsemble_AllModels_3_AutoML_1_20251210_213222,0.927090708134612,0.3437018730185168,0.9269907074948708,0.1568041934497598,0.3294052110521454,0.1085077930683084
StackedEnsemble_AllModels_5_AutoML_1_20251210_213222,0.9270894664091172,0.3437995394045232,0.9271174022308348,0.1564926970841457,0.3293865468480977,0.108495497244514
StackedEnsemble_AllModels_1_AutoML_1_20251210_213222,0.9269584104312506,0.3440396052622754,0.9266768937424732,0.1552641118453047,0.3294876580410589,0.1085621168013817
StackedEnsemble_AllModels_2_AutoML_1_20251210_213222,0.9269425526097288,0.3440940981541329,0.9265337258554698,0.1553010629335492,0.3294815842376011,0.1085581143517194
StackedEnsemble_BestOfFamily_3_AutoML_1_20251210_213222,0.9265010767343757,0.3449838422869808,0.9259062139218684,0.1574299335847167,0.329849428405076,0.1088006454191553
StackedEnsemble_BestOfFamily_4_AutoML_1_20251210_213222,0.9264211862735688,0.3451556444706126,0.925616073256972,0.1576236427619008,0.3300781245654912,0.1089515683166719
StackedEnsemble_BestOfFamily_1_AutoML_1_20251210_213222,0.9264172981349584,0.3452500269036491,0.9257287638484868,0.1559531570280827,0.3299389607196384,0.108859717800755
StackedEnsemble_BestOfFamily_2_AutoML_1_20251210_213222,0.9264143694071744,0.3452439744931272,0.925335174460462,0.1576721067800562,0.3298948624820907,0.1088306202920775
StackedEnsemble_BestOfFamily_6_AutoML_1_20251210_213222,0.9262436562516762,0.3457129797494171,0.9254730043111072,0.1600090043230776,0.3303246783425897,0.1091143931221353
GBM_lr_annealing_selection_AutoML_1_20251210_213222_select_model,0.9257554676272112,0.346969744918778,0.9257783511363616,0.1605836638648993,0.3309811082298882,0.1095484940050849
GBM_grid_1_AutoML_1_20251210_213222_model_6,0.9257055943309526,0.3466205351033396,0.9252702238959738,0.1606977878483577,0.3309375265933093,0.1095196465076972
StackedEnsemble_AllModels_4_AutoML_1_20251210_213222,0.9256213475023286,0.3468470735412856,0.9244211282248872,0.1568546772801803,0.3309437720700218,0.1095237802719345
GBM_1_AutoML_1_20251210_213222,0.9255771526328244,0.3469916203263041,0.92518489034568,0.1593622742072526,0.3308559519479822,0.1094656609394054
GBM_grid_1_AutoML_1_20251210_213222_model_14,0.925483600896334,0.3475614209200922,0.9253191602004524,0.1601804152319037,0.3313337711741979,0.1097820679205157
GBM_grid_1_AutoML_1_20251210_213222_model_12,0.9253316926520716,0.3480878633069619,0.9251511714540592,0.1580593943056755,0.3315861691116601,0.1099493875461465
GBM_2_AutoML_1_20251210_213222,0.925262018309892,0.3481206934575059,0.9251470890565288,0.1604093747235955,0.3317955119653348,0.1100882617603386
StackedEnsemble_BestOfFamily_5_AutoML_1_20251210_213222,0.9252254229840352,0.3473361173146338,0.9254157500056872,0.161568636792162,0.3312615483739482,0.1097342134311056
GBM_grid_1_AutoML_1_20251210_213222_model_13,0.9250571152413252,0.3483016330823306,0.92474125541193,0.1615375729976219,0.3318256617009726,0.1101082697632883
GBM_grid_1_AutoML_1_20251210_213222_model_22,0.9250427791647258,0.3486858106414024,0.9248405611878776,0.1580878415252359,0.3317868994899313,0.1100825466731418
GBM_grid_1_AutoML_1_20251210_213222_model_19,0.9249861854022036,0.3489102673512991,0.9254996980433066,0.1612330105557041,0.3321506111906629,0.1103240285143309
GBM_grid_1_AutoML_1_20251210_213222_model_16,0.9248718571422774,0.3486776574126038,0.9242514000880908,0.1605140790371268,0.3321072344790159,0.1102952151933
GBM_grid_1_AutoML_1_20251210_213222_model_15,0.924829548961048,0.3492562820220432,0.924677608206166,0.1604003475399155,0.3320755302474502,0.1102741577891252
GBM_grid_1_AutoML_1_20251210_213222_model_7,0.9248223304274416,0.3485550545350743,0.924663073541142,0.161699302579023,0.3318900144545741,0.1101509816946574
GBM_grid_1_AutoML_1_20251210_213222_model_18,0.9247692139553528,0.3491447859921947,0.9241361160789162,0.1595555908981897,0.3319204512416138,0.1101711859524365
GBM_5_AutoML_1_20251210_213222,0.9246297573946566,0.3496694765739568,0.9241023835755372,0.1609249157375637,0.3323287767330982,0.1104424158449174
GBM_grid_1_AutoML_1_20251210_213222_model_51,0.924478400008285,0.3503264804584517,0.9245218412374412,0.1619185233622595,0.3325654898370362,0.1105998050305478
GBM_grid_1_AutoML_1_20251210_213222_model_50,0.9243556987084236,0.3502660198698162,0.9245300495670514,0.1616312876962383,0.3328968207757194,0.1108202932825814
GBM_grid_1_AutoML_1_20251210_213222_model_48,0.924340726850009,0.3501732402170914,0.9238733296005543,0.1625234617261275,0.3328802858446278,0.1108092847040011
GBM_3_AutoML_1_20251210_213222,0.9243340660600168,0.3501902229109707,0.9241438894366076,0.1596162793710311,0.332761193070769,0.1107300116138816
GBM_grid_1_AutoML_1_20251210_213222_model_21,0.9242507855279424,0.3504589400220887,0.9238693034584268,0.1619493254993017,0.3328034046213411,0.1107581061275561
GBM_grid_1_AutoML_1_20251210_213222_model_49,0.9237735153659146,0.3515387675317746,0.9232185192864644,0.1638657784621799,0.3331114434136417,0.1109632337331198
GBM_grid_1_AutoML_1_20251210_213222_model_5,0.923700262742688,0.351993676317492,0.9234926473562498,0.1606089711944841,0.333528024573283,0.1112409431757564
GBM_grid_1_AutoML_1_20251210_213222_model_1,0.9236714666464636,0.3521590057183045,0.9233181773204874,0.1628280241680453,0.3336078097115171,0.1112941707005158
GBM_grid_1_AutoML_1_20251210_213222_model_20,0.9232972597005018,0.3532501214836726,0.9226893660076374,0.1610067250200223,0.3339249709384689,0.1115058862162573
GBM_4_AutoML_1_20251210_213222,0.9228634568165148,0.3540303865989239,0.9225840128547383,0.1662081708126588,0.3347417730874147,0.1120520546497062
GBM_grid_1_AutoML_1_20251210_213222_model_45,0.922753836096311,0.353991180151723,0.9216623072100628,0.16292841113286,0.3342054344271062,0.1116932724006108
GBM_grid_1_AutoML_1_20251210_213222_model_52,0.9223319753523412,0.3555039710324966,0.9209972259353576,0.1615900192592771,0.3349867228377489,0.1122161044775747
GBM_grid_1_AutoML_1_20251210_213222_model_10,0.9221271893410762,0.3561560013141961,0.9209328727651144,0.1609721288492595,0.3352229282317978,0.112374411612301
GBM_grid_1_AutoML_1_20251210_213222_model_8,0.9210954393979476,0.3594110561277101,0.920281457271333,0.162423393799841,0.3373215940205906,0.1137858577925921
GBM_grid_1_AutoML_1_20251210_213222_model_2,0.921029324974885,0.3589081841049317,0.9201867086826384,0.1672441508853379,0.3371154198223099,0.1136468062819722
GBM_grid_1_AutoML_1_20251210_213222_model_17,0.9208771527778836,0.35845174083306,0.9195262366388328,0.1631304199022605,0.3369899894424229,0.1135622529844043
GBM_grid_1_AutoML_1_20251210_213222_model_4,0.9208651211234592,0.359811068762586,0.9203529633480428,0.1634506817940567,0.3371570997493672,0.1136749099114047
GBM_grid_1_AutoML_1_20251210_213222_model_11,0.920813797234756,0.3608525714950599,0.9199418970994968,0.1647800464839594,0.3375643892739056,0.1139497169058648
GBM_grid_1_AutoML_1_20251210_213222_model_47,0.9207254281529182,0.3604797931206855,0.919849726646946,0.1666721079184958,0.3374810126513105,0.113893433900154
GBM_grid_1_AutoML_1_20251210_213222_model_9,0.920682204170446,0.3605767536683363,0.9191538694005216,0.1674069270967308,0.3379033569658647,0.1141786786488006
DRF_1_AutoML_1_20251210_213222,0.9199891905156152,0.36715933304278,0.9182032696502656,0.1672910449585054,0.3373787670069021,0.1138244324270975
GLM_1_AutoML_1_20251210_213222,0.9190786775084556,0.3652241342671163,0.9162000228848874,0.1655333125158015,0.3385660965799381,0.114627001753376
XRT_1_AutoML_1_20251210_213222,0.9180710643218948,0.3690946756808462,0.914093504216426,0.1703595644087558,0.3397937430473543,0.1154597878141314
GBM_grid_1_AutoML_1_20251210_213222_model_46,0.916186735554996,0.3813916607243515,0.914831082216858,0.170565759698124,0.3464072679487867,0.1199979952877425
GBM_grid_1_AutoML_1_20251210_213222_model_3,0.914324443398957,0.3783972539987946,0.9136982888370548,0.1736102066585608,0.3456210055648419,0.1194538794876524
