model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.9290109964455526,3.9679930210113525,408.67757511138916,0.005984783172607422,6.557934761047363,2,True,14
LightGBMXT_BAG_L1,0.9270965724759044,0.29428696632385254,11.541724681854248,0.29428696632385254,11.541724681854248,1,True,3
CatBoost_BAG_L1,0.9267170566370233,0.04488992691040039,32.51657199859619,0.04488992691040039,32.51657199859619,1,True,7
NeuralNetTorch_BAG_L1,0.9264781128460665,0.2785935401916504,154.9909520149231,0.2785935401916504,154.9909520149231,1,True,12
LightGBM_BAG_L1,0.9258883414361162,0.16855168342590332,6.886084318161011,0.16855168342590332,6.886084318161011,1,True,4
XGBoost_BAG_L1,0.9254926372609789,0.12366962432861328,9.09116005897522,0.12366962432861328,9.09116005897522,1,True,11
LightGBMLarge_BAG_L1,0.9251072547855641,0.22838878631591797,16.343376874923706,0.22838878631591797,16.343376874923706,1,True,13
NeuralNetFastAI_BAG_L1,0.9243341739363535,0.7125866413116455,178.90583872795105,0.7125866413116455,178.90583872795105,1,True,10
RandomForestEntr_BAG_L1,0.9217576394395299,1.2187387943267822,8.08438491821289,1.2187387943267822,8.08438491821289,1,True,6
RandomForestGini_BAG_L1,0.9209985756283906,1.2892427444458008,6.989007949829102,1.2892427444458008,6.989007949829102,1,True,5
ExtraTreesEntr_BAG_L1,0.9197939641839911,1.4606614112854004,2.6526525020599365,1.4606614112854004,2.6526525020599365,1,True,9
ExtraTreesGini_BAG_L1,0.91919535380014,1.4850616455078125,2.556501865386963,1.4850616455078125,2.556501865386963,1,True,8
KNeighborsDist_BAG_L1,0.8320318979035579,5.591069221496582,0.04089212417602539,5.591069221496582,0.04089212417602539,1,True,2
KNeighborsUnif_BAG_L1,0.8302536551853988,5.5504350662231445,0.041887521743774414,5.5504350662231445,0.041887521743774414,1,True,1
